t (s),TH-IN,T-HT,TH-OUT,T-HOT LEG,TA,TC-IN,T-CTB OUT,T-CT,T- CTB IN,TC-OUT,T-COLD LEG,TB,T-AIR,T-iSO1,T-iSO2
0,23.93,27.54,24.9,24.981538,25.344993,25.93,16.494643,15.9,16.085691,22.89,22.961715,24.123676,27.277591,28.286037,27.928758
1,23.93,27.54,24.9,24.981538,25.344993,25.93,16.494643,15.9,16.085691,22.89,22.961715,24.123676,27.277591,28.286037,27.928758
2,23.94,27.55,24.91,24.997826,25.361506,25.93,16.499692,15.9,16.103291,22.92,22.964195,24.131001,27.295456,28.284092,27.941781
3,23.94,27.55,24.91,24.997826,25.361506,25.93,16.499692,15.9,16.103291,22.92,22.964195,24.131001,27.295456,28.284092,27.941781
4,23.94,27.55,24.9,24.983867,25.357697,25.93,16.508891,15.9,16.100641,22.91,22.994142,24.096513,27.281296,28.284503,27.934991
5,23.94,27.55,24.9,24.983867,25.357697,25.93,16.508891,15.9,16.100641,22.91,22.994142,24.096513,27.281296,28.284503,27.934991
6,23.92,27.55,24.9,24.957989,25.345894,25.92,16.491744,15.91,16.089763,22.9,22.949126,24.059853,27.26353,28.284053,27.923677
7,23.92,27.55,24.9,24.957989,25.345894,25.92,16.491744,15.91,16.089763,22.9,22.949126,24.059853,27.26353,28.284053,27.923677
8,23.92,27.54,24.89,24.965242,25.342307,25.9,16.491986,15.89,16.087681,22.9,22.946825,24.019231,27.256267,28.264131,27.918488
9,23.92,27.54,24.89,24.965242,25.342307,25.9,16.491986,15.89,16.087681,22.9,22.946825,24.019231,27.256267,28.264131,27.918488
10,23.92,27.55,24.89,24.958868,25.358532,25.91,16.488193,15.92,16.115725,22.93,23.031554,24.002765,27.265097,28.275607,27.926853
11,23.92,27.55,24.89,24.958868,25.358532,25.91,16.488193,15.92,16.115725,22.93,23.031554,24.002765,27.265097,28.275607,27.926853
12,23.91,27.54,24.87,24.938601,25.336197,25.9,16.477796,15.89,16.099051,22.92,22.994179,23.972579,27.2405,28.268001,27.902731
13,23.91,27.54,24.87,24.938601,25.336197,25.9,16.477796,15.89,16.099051,22.92,22.994179,23.972579,27.2405,28.268001,27.902731
14,23.91,27.55,24.87,24.951731,25.341022,25.9,16.490749,15.9,16.109218,22.92,22.911625,23.938121,27.23611,28.26771,27.930317
15,23.91,27.55,24.87,24.951731,25.341022,25.9,16.490749,15.9,16.109218,22.92,22.911625,23.938121,27.23611,28.26771,27.930317
16,23.89,27.54,24.86,24.931029,25.336237,25.89,16.484548,15.9,16.105107,22.92,22.860392,23.918799,27.229492,28.253714,27.911743
17,23.89,27.54,24.86,24.931029,25.336237,25.89,16.484548,15.9,16.105107,22.92,22.860392,23.918799,27.229492,28.253714,27.911743
18,23.89,27.54,24.87,24.931956,25.328402,25.89,16.503661,15.91,16.118881,22.91,22.895582,23.91863,27.226505,28.264018,27.908297
19,23.89,27.54,24.87,24.931956,25.328402,25.89,16.503661,15.91,16.118881,22.91,22.895582,23.91863,27.226505,28.264018,27.908297
20,23.89,27.55,24.86,24.93453,25.328207,25.9,16.510966,15.91,16.122005,22.92,22.862869,23.903033,27.231374,28.26477,27.908793
21,23.89,27.55,24.86,24.93453,25.328207,25.9,16.510966,15.91,16.122005,22.92,22.862869,23.903033,27.231374,28.26477,27.908793
22,23.88,27.55,24.86,24.924323,25.317774,25.89,16.527649,15.92,16.112665,22.91,22.832781,23.894908,27.23546,28.249912,27.909656
23,23.88,27.55,24.86,24.924323,25.317774,25.89,16.527649,15.92,16.112665,22.91,22.832781,23.894908,27.23546,28.249912,27.909656
24,23.87,27.54,24.85,24.925574,25.308187,25.89,16.528936,15.92,16.119994,22.91,22.908475,23.907731,27.217144,28.250474,27.911364
25,23.87,27.54,24.85,24.925574,25.308187,25.89,16.528936,15.92,16.119994,22.91,22.908475,23.907731,27.217144,28.250474,27.911364
26,23.87,27.54,24.85,24.913358,25.300817,25.87,16.533779,15.91,16.118565,22.92,22.996251,23.898922,27.219455,28.240511,27.900332
27,23.87,27.54,24.85,24.913358,25.300817,25.87,16.533779,15.91,16.118565,22.92,22.996251,23.898922,27.219455,28.240511,27.900332
28,23.86,27.53,24.84,24.900649,25.295723,25.87,16.515355,15.9,16.13174,22.91,22.999647,23.887307,27.225878,28.241718,27.89847
29,23.86,27.53,24.84,24.900649,25.295723,25.87,16.515355,15.9,16.13174,22.91,22.999647,23.887307,27.225878,28.241718,27.89847
30,23.86,27.54,24.82,24.900791,25.291945,25.87,16.529486,15.91,16.128214,22.91,22.954085,23.896964,27.207836,28.234113,27.898381
31,23.86,27.54,24.82,24.900791,25.291945,25.87,16.529486,15.91,16.128214,22.91,22.954085,23.896964,27.207836,28.234113,27.898381
