t (s),Actual,Predicted_RF,Predicted_DT,Absolute Error RF,Absolute Error DT,Squared Error RF,Squared Error DT,SST,,,52.84811719
8800,52.647219,52.64970534,52.64916671,0.002486345,0.001947714,6.18191E-06,3.79359E-06,0.040360083,,,
8801,52.647219,52.6492857,52.64903687,0.002066698,0.001817867,4.27124E-06,3.30464E-06,0.040360083,,,
8802,52.647677,52.6488967,52.64892325,0.001219699,0.00124625,1.48767E-06,1.55314E-06,0.04017627,,,
8803,52.647677,52.6485288,52.64884994,0.000851795,0.001172941,7.25555E-07,1.37579E-06,0.04017627,,,
8804,52.64689,52.64846503,52.64878478,0.001575029,0.001894778,2.48072E-06,3.59018E-06,0.040492382,,,
8805,52.64689,52.64835456,52.64868505,0.001464561,0.001795053,2.14494E-06,3.22221E-06,0.040492382,,,
8806,52.648963,52.64810011,52.6485953,0.00086289,0.0003677,7.44579E-07,1.35203E-07,0.039662391,,,
8807,52.648963,52.64813748,52.64861281,0.000825519,0.00035019,6.81481E-07,1.22633E-07,0.039662391,,,
8808,52.650127,52.64830713,52.64862873,0.00181987,0.001498273,3.31193E-06,2.24482E-06,0.039200115,,,
8809,52.650127,52.64838883,52.64869387,0.001738165,0.00143313,3.02122E-06,2.05386E-06,0.039200115,,,
8810,52.66682,52.64844329,52.64875358,0.018376709,0.018066417,0.000337703,0.000326395,0.032868671,,,
8811,52.66682,52.65302269,52.64947624,0.01379731,0.01734376,0.000190366,0.000300806,0.032868671,,,
8812,52.666357,52.65124932,52.65014331,0.015107679,0.016213692,0.000228242,0.000262884,0.033036767,,,
8813,52.666357,52.65572613,52.66666567,0.010630868,0.000308667,0.000113015,9.52751E-08,0.033036767,,,
8814,52.673726,52.66145862,52.66682,0.012267375,0.006906,0.000150488,4.76928E-05,0.030412287,,,
8815,52.673726,52.66427715,52.673726,0.009448849,0,8.92807E-05,0,0.030412287,,,
8816,52.66585,52.66622921,52.673726,0.000379207,0.007876,1.43798E-07,6.20314E-05,0.033221329,,,
8817,52.66585,52.66643654,52.67110067,0.000586544,0.005250667,3.44034E-07,2.75695E-05,0.033221329,,,
